"name","type","company","description","amount","notes"
"Daniel Laurent","functions",,"Maire de Pons","2014 : 4830 EUR par an","Elu en Mars 2014 (mensuel x 9 mois)"
"Daniel Laurent","functions",,"Président du syndicat Départemental d'Electrification","2014 : 13936 EUR par an","1161,31 EUR mensuel "
"Daniel Laurent","functions",,"Vice-Président de la Communauté de Communes de Haute Saintonge","2014 : 8333,52 EUR par an","Depuis 01/04/2014 à 694,46"
"Daniel Laurent","functions",,,,"Sénateur : 5379,12 EUR par mois"
"Daniel Percheron","functions",,"Président du conseil régional 59-62",,"Indemnité plafonnée de président (2250 € / mois)"
"Daniel Percheron","functions",,,,"Sénateur 62 2011 - 2017 - Idnemnité parlementaire"
"Daniel Raoul","functions",,"Conseiller délégué de la ville d'Angers",,
"Daniel Raoul","functions",,"Vice Président de Communauté d'Agglo",,
"Daniel Raoul","functions",,,,"Sénateur - 2001 Election 2011 Renouvellement 2017 Fin de mandat - 27000 EUR par an "
"Daniel Reiner","functions",,,,
"Daniel Vaillant","functions",,"Conseiller de Paris (18eme arrondissement)","19092 EUR par an ","mars 2008 mars 2014 - indemnité :  1 591 € après impôt"
"Daniel Vaillant","functions",,"Maire arrondissement (18ème)","3084 EUR par an ","avril 2008 - avril 2014 - indemnité : 257 € après impôt"
"Daniel Vaillant","functions",,,,"Député de Paris Indemnité Parlementaire: 4688 EUR avant impôts"
"Danielle Auroi","functions",,"Elue communautaire",,
"Danielle Auroi","functions",,"Elue municipale",,
"Danielle Michel","functions",,"Conseillère municipale",,
"Danielle Michel","functions",,"Vice présidente de la communauté d'agglomération","10861,32 EUR par an ","905,11 €"
"Danielle Michel","functions",,,,"5514,68 EUR -  Sénatrice "
"David Assouline","functions",,"Conseiller de Paris","30145,32 EUR par an ","Début : Mars 2008 Fin: Mars 2014 - Conseiller municipal : 512.46€ mensuel Conseiller général : 1999.65€ Mensuel"
"David Comet","functions",,"Conseiller général du canton d'Angoulême Ouest","15660 EUR par an","Rien depuis mars 2015"
"David Douillet","functions",,"Conseiller Régional d'Ile de France","2012 : 24381 EUR par an ","21 mars 2010 - mars 2015 net "
"David Douillet","functions",,"Conseiller Régional d'Ile de France","2013 : 29 804,04 EUR par an ",
"David Habib","functions",,"Maire de Mourenx","18050,16 EUR par an ","élu le 10 mars 2008 - 1504,18 € net / mensuel"
"David Habib","functions",,"Président de la communauté de communes de LACQ","13822,2 EUR par an ","élu Avril 2008, mandat achevé le 16 janvier 2014 - 1151,85 € net / mensuel"
"David Rachline","functions",,"Conseiller régional de Provence-Alpes-Côte d'Azur (PACA)","27 600 EUR par an","2 300 EUR par mois"
"David Rachline","functions",,"Maire de Fréjus","34 188 EUR par an","2 849 EUR bruts par mois"
"Delphine Bataille","functions",,"Conseillère générale du Nord","19608 EUR ","31 mars 2011 / 2015 (Vice-Présidente démissionnaire le 7 novembre 2011) - 1634 euros / mois"
"Delphine Batho","functions",,,,"Députée - Juin 2007"
"Denis Baupin","functions",,"Conseiller de Paris","52860 EUR par an ","16/03/2008 (fin de mandat : 30/03/2014) - En tant que Maire adjoint et conseiller de Paris : 4405 Euros (du 21/03/2008 au 05/07/2012)"
"Denis Baupin","functions",,"Maire adjoint de Paris","28224 EUR par an ","Du 21/03/2008 au 05/07/2012 - En tant que conseiller de Paris (conseiller municipal + conseiller général, du 16/03/2 5/07/2012 au 30/03/2014 2352 Euros (après ecrétement)"
"Denis Jacquat","functions",,"Conseiller général de la Moselle",,"A partir 27-3-2011"
"Denys Robiliard","functions",,"Conseiller communautaire","1320 EUR par an ","mai 2008 mars 2014 - 110€/mois"
"Denys Robiliard","functions",,"Conseiller municipal de Blois Maire adjoint","15600 EUR par an ","mars 2008 mars 2014 - 1300€/mois"
"Didier Guillaume","functions",,"Conseiller général",,
"Didier Guillaume","functions",,"Président du conseil Général de la Drôme","28762 EUR par an","2396,82 EUR net par mois : indemnité écretée"
"Didier Guillaume","functions",,,,"Sénateur depuis 2008, 2003: 83764,08 EUR "
"Didier Mandelli","functions",,"Mairie du Poiré sur Vie","22387,56 EUR par an ","1865,63 eur net / mois"
"Didier Mandelli","functions",,"Premier Vice-Président du syndicat Trivalis","9237,84 EUR par an ","769,82 eur net / mois juin 2014"
"Didier Mandelli","functions",,"Président de communauté de communes Vie et Boulogne","22786,44 EUR par an ","1898,87 eur net / mois mars 2014"
"Didier Marie","functions",,"Conseiller général","24491,28 EUR par an ","2040,94 eur / mois élu en 2004, renouvelé en 2008"
"Didier Marie","functions",,,,"Sénateur : 5381,23 eur / mois"
"Didier Quentin","functions",,"Maire Ville de Royan","13153,8 EUR par an ","Avril 2008 - 1096,15 €/mois"
"Didier Quentin","functions",,"Vice Président de la CARA Communauté Agglomération Royan Atlantique","13220,28 EUR par an ","Avril 2008 - 1101,69 €/mois"
"Didier Quentin","functions",,,,"Député Assemblée Nationale - Juin 1997 - 5873,88 EUR/mois"
"Didier Robert","functions",,"Président du Conseil Régional de la Réunion","54852 EUR par an ","4571 EUR net par mois"
"Dino Cinieri","functions",,"Elu parlementaire","46799 EUR par an ","20/06/2012"
"Dominique Baert","functions",,"Maire de Wattrelos","12539 EUR par an ",
"Dominique Baert","functions",,"Vice-président LMCU","16273 EUR par an ",
"Dominique Baert","functions",,,,"Député du Nord - (1997-2002) (2007-2012) -  47702 EUR par an "
"Dominique Bailly","functions",,"Maire d'Orchies","20760 EUR par an","1730 EUR par mois"
"Dominique Bailly","functions",,"Président de la communauté de communes cœur de Pévèle ","5376 EUR par an ","448 EUR par mois 01/12/2013"
"Dominique Bussereau","functions",,"Président du Conseil Général","24552 EUR par an ","depuis le 20 mars 2008 - mandat en cours - Indemnité 2013 2046€ après écrêtement"
"Dominique Chauvel","functions",,"Maire",,"2001 à octobre 2013"
"Dominique Chauvel","functions",,"Vice-président Département","27600 EUR par an ","2008=> Janvier 2014 Aujourd'hui simple Conseillère Générale  - 2300"
"Dominique de Legge","functions",,"Conseiller général de Bretagne","21670,20 EUR par an","1805,85 par mois"
"Dominique de Legge","functions",,"Maire du Pertre","14691,48 EUR par an","1224,29 par mois. De mars 1995 au 01 avril 2014 pas d'indemnités."
"Dominique de Legge","functions",,"Vice Président de Vitré communauté","7802,40 EUR par an","650,20 par mois jusqu'en décembre 2013"
"Dominique de Legge","functions",,"Vice Président du Pertre communauté","12091,92 EUR par an","1007,66 par mois. Toujours en cours"
"Dominique Dord","functions",,"Maire d'Aix-les-Bains","24000 EUR par an ","2000€ + Clio Renault de fonction"
"Dominique Dord","functions",,"Président Communauté Agglo. Lac du Bourget","0 EUR par an ",
"Dominique Dord","functions",,"Trésorier UMP","0 EUR par an ","0... (démissionnaire fin 2012)"
"Dominique Estrosi Sassone","functions",,"Adjointe au Maire de Nice","11832 EUR par an ",
"Dominique Estrosi Sassone","functions",,"Conseillère Générale des Alpes Maritimes","24360 EUR par an ",
"Dominique Estrosi Sassone","functions",,"Présidente de Commission Métropole Nice Côte d'Azur","18696 EUR par an ",
"Dominique Gillot","functions",,"Maire d'Eragny",,"03/2008 - 30/03/2014"
"Dominique Gillot","functions",,,,"Sénatrice du Val d'Oise - 01/10/2011 - 30/09/2017"
"Dominique Le Mèner","functions",,"Président du conseil général de la Sarthe",,
"Dominique Le Mèner","functions",,"Vice-Président du conseil général de la Sarthe","26875,20 EUR par an","(plafonnée) 2239,60 eur fois 12"
"Dominique Lefebvre","functions",,"Maire de Cergy","0 EUR par an ","28 février 1996/ 2 janvier 2013 - 0 € à compter du 1er juillet 2012"
"Dominique Lefebvre","functions",,"Président de la Communauté d'agglomération de Cergy-Pontoise","33086,52 EUR par an ","Avril 2001 - 2 757,21 € brut"
"Dominique Nachury","functions",,"Conseillere générale VII eme canton de Lyon.","27600 EUR par an ","depuis 1998 - 3200 € mensuels (2300 euros mensuels depuis juin 2012"
"Dominique Nachury","functions",,"Conseillere municipale de Lyon","13200 EUR par an ","(demission pour cumul de mandats) - 1100 euros mensuels (jusqu'en juin 2012)"
"Dominique Nachury","functions",,"Vice-Présidente du Conseil General du Rhône",,
"Dominique Orliac","functions",,,,
"Dominique Potier","functions",,"Maire","2400 EUR par an ","200€->juin 2012 (octobre) après 0"
"Dominique Potier","functions",,"Président CC Toulois","20400 EUR par an ","1700€->juin 2012 (octobre) après 0"
"Dominique Potier","functions",,"Vice-Président SM SCOT SUD 54","8400 EUR par an ","env 700€->juin 2012 (octobre) après 0"
"Dominique Raimbourg","functions",,"Conseiller communautaire Nantes Métropole","10800 EUR par an ","900€ / mois"
"Dominique Raimbourg","functions",,"Conseiller municipal St Sébastien (44)","1080 EUR par an ","90€ / mois"
"Dominique Raimbourg","functions",,,,"Député- 5000 EUR / mois"
"Dominique Tian","functions",,"Conseiller municipal de Marseille",,"mars 2008 -"
"Dominique Tian","functions",,"Maire de secteur 6ème et 8ème arrondissement de Marseille",,"Début de mandat : mars 2008 / fin de mandat : 4 septembre 2013"
"Dominique Tian","functions",,,,"Député de la 2ème circonscription des Bouches-du-Rhône (2006-2013)"
"Dominique Watrin","functions",,"Conseiller général du Pas-de-Calais ","25523,88 EUR par an ","décembre 2001 - 2126,99"
"Dominique Watrin","functions",,"Vice-Président du Conseil général chargé des personnes âgées",,
"Edith Gueugneau","functions",,"Conseillère Municipale",,
"Edith Gueugneau","functions",,"Présidente de la Communauté de Communes entre Somme et Loire 71","16723,32 EUR par an ","10 janvier 2010 - 1393€,61/mois"
"Edith Gueugneau","functions",,"Vice présidente Région Bourgogne","19908 EUR par an ","28 mars 2010 - 1659,00 / par mois"
"Édouard Courtial","functions",,"Maire d'Agnetz","15757,32 EUR par an ","Mars 2008 à ce jour  -1313,11 € / mois (nets)"
"Edouard Philippe","functions",,"Maire du Havre","indemnités fixées par le Conseil Municipal et le Conseil Communautaire en application de la loi et sous le plafond prévu par la loi","octobre 2010 à mars 2014"
"Edouard Philippe","functions",,"Président CODAH","indemnités fixées par le Conseil Municipal et le Conseil Communautaire en application de la loi et sous le plafond prévu par la loi","décembre 2010 à mars 2014"
"Eduardo Rihan Cypel","functions",,"Conseiller communautaire de la C.A. du Val Maubuée",0,
"Eduardo Rihan Cypel","functions",,"Conseiller municipal de Torcy (77)","1068 EUR par an ","89.00€ / mois"
"Eduardo Rihan Cypel","functions",,"Conseiller Régional d'Ile-de-France","29382,84 EUR par an ","Démission - 2448,57 euros net/mois"
"Éliane Assassi","functions",,"Conseillère municipale",,"mars 2008 mars 2014"
"Éliane Giraud","functions",,"Présidente du Parc Naturel régional de Chartreuse","13229,04 EUR par an ","Jusqu'à fin mai 2014, supprimée ensuite"
"Éliane Giraud","functions",,"Vice-Présidente de la Région Rhônes-Alpes","44705 EUR par an","C.R. depuis Mars 1998 Conseillère déléguée depuis Mars 2004 V.P. depuis le 12 juillet 2012 - Brut mensuel  3725 € 47"
"Élie Aboud","functions",,"Adjoint au Maire de Béziers","15600 EUR par an ","2008 / Janv. 2013 -  1300 € net/mois"
"Élie Aboud","functions",,"Conseiller communautaire CABM"," 2760 EUR par an ","2008 / en cours - 230 € net/mois"
"Élisabeth Doineau","functions",,"Conseillère générale de la Mayenne","31932 EUR par an","2661 EUR"
"Élisabeth Doineau","functions",,"Conseillère régionale des Pays de Loire","35124 EUR par an","2927 EUR"
"Elisabeth Guigou","functions",,,,
"Elisabeth Lamure","functions",,"Maire","18312 EUR par an",
"Elisabeth Lamure","functions",,"Vice Présidente EPCI","10524 EUR par an",
"Elisabeth Lamure","functions",,,,"Sénateur - 2004 - … - 62016 Eur par an "
"Elisabeth Pochon","functions",,"Conseillère municipale dans la commune de Villemomble","1101,96 EUR par an ","91,83 € / mois (en janvier 2014)"
"Elisabeth Pochon","functions",,,,"Députée - Indemnité parlementaire : 5346,47 EUR/mois (en janvier 2014) IRFM : 5308,40 EUR/mois (en janvier 2014)"
"Emeric Bréhier","functions",,"Conseiller Communautaire",,"mar-08"
"Emeric Bréhier","functions",,"Conseiller municipal de Chelles et adjoint au Maire","61667,01 EUR par an ","mar-08"
"Éric Alauzet","functions",,"Conseiller général","31200 EUR par an","mars 2008  -2600 euros/mois"
"Éric Alauzet","functions",,"Conseiller municipal délégué","6000 EUR par an","mars 2008- juin 2012 -500 euros/mois"
"Éric Alauzet","functions",,"Président SYBERT","11400 EUR par an ","mars 2008 - juin 2012 - 950 euros /mois"
"Éric Alauzet","functions",,"Vice président communauté d'agglomération","9000 EUR par an ","mars 2008 - juin 2012  -750 euros/mois"
"Eric Bocquet","functions",,"Conseiller Lille Métropole","12852 EUR par an","brut / reversé à l'association  de financement PCF 59"
"Eric Bocquet","functions",,"Maire de Marquillies","10788 EUR par an","40% à l'élu / brut"
"Éric Ciotti","functions",,"Président du Conseil général des Alpes-Maritimes","13392 EUR par an","1er avril 2011 Mars 2015 Conseiller général  -1 116€"
"Éric Ciotti","functions",,"Président du SDIS 06","11995,56 EUR par an ","18 décembre 2009 - 999,63€"
"Éric Ciotti","functions",,"Président du Syndicat Mixte pour le développement de la Vésubie et du Valdeblore",,"19-dic-11"
"Éric Doligé","functions",,"Président du conseil général du Loiret","2013 : 36784 EUR par an  ,  16254  EUR par an ","Début 1/04/1994 - brut annuel , indemnités forfaitaire pour frais"
"Éric Doligé","functions",,"Président du conseil général du Loiret","2009 : 32767 EUR par an ,  16254 EUR par an ",
"Éric Doligé","functions",,"Président du conseil général du Loiret","2010 : 33005 EUR par an ,  16254 EUR par an ",
"Éric Doligé","functions",,"Président du conseil général du Loiret","2011 : 33088 EUR par an ,  16254 EUR par an ",
"Éric Doligé","functions",,"Président du conseil général du Loiret","2012 : 33088 EUR par an ,  16254 EUR par an ",
"Éric Jalton","functions",,"1er vice-Président Communauté d'Agglomération","26952 EUR par an ","820€/mois de 2008 à mars 2013 et 2246 depuis."
"Éric Jalton","functions",,"Maire","528 EUR par an ","609€ de 2008 à mai 2012. 1580€ jusqu'à mars 2013 et 44€ depuis"
"Éric Jalton","functions",,,,"Député 2007-2014 - 5427,38 EUR/mois"
"Éric Jeansannetas","functions",,"1er adjoint de la Mairie de Guéret ","6587 EUR par an","941€ brut mensuel avril à octobre 2014"
"Éric Jeansannetas","functions",,"Vice-Président de la Communauté de Communes de Guéret","5600 EUR par an ","800€ brut mensuel avril à octobre 2014"
"Éric Jeansannetas","functions",,"Vice-Président du Conseil  général de la Creuse","25536 EUR par an","2128€ brut mensuel"
"Éric Straumann","functions",,"Conseiller général du Haut-Rhin","24516 EUR par an ","Depuis mai 2004 - 2.043€/mois"
"Éric Straumann","functions",,"Maire de Houssen",,"Depuis mars 2001"
"Éric Straumann","functions",,"Vice-Président de la Communauté d'Agglomération de Colmar","2436 EUR par an ","Depuis novembre 2003 - 203€"
"Éric Straumann","functions",,,,"Député du Haut-Rhin Depuis juin 2007  - 5148 EUR"
"Éric Woerth","functions",,"Maire de Chantilly","25085,16 EUR par an ","2008 - 2014 - Indemnité mensuelle brute = 2090,43€"
"Éric Woerth","functions",,"Président communauté de communes de l'aire cantilienne",,"2008 - 2014"
"Éric Woerth","functions",,,,"Député de l'Oise - - Indemnité parlementaire mensuelle brute = 5680,12 EUR IRFM = 5770 EUR"
"Ericka Bareigts","functions",,"CINOR","2009-2012 : 104751 EUR par an ",
"Ericka Bareigts","functions",,"Conseil régional de la Réunion","47966,16 EUR par an ",
"Ericka Bareigts","functions",,"conseillère municipale à saint denis","2009-2013 : 80165,79 EUR par an ","depuis le 16/03/08 jusqu'à aujourd'hui"
"Erwann Binet","functions",,"Vice Président du Conseil général de l'Isère","33950,4 EUR par an ","16 mars 2008 - 2829,20 € bruts par mois"
"Estelle Grelier","functions",,"Conseillère municipale Fécamp",,"mar-08"
"Estelle Grelier","functions",,"Député européen","74408,64","7 juin 2009 - 20 juin 2012 - 6200.72 € nets par mois"
"Estelle Grelier","functions",,"Présidente communauté de communes de Fécamp",,"apr-08"
"Estelle Grelier","functions",,"Présidente du centre de gestion de la fonction publique territoriale 76","26168,52 EUR par an ","Septembre 2008 - 2180,71€ nets/mois"
"Esther Benbassa","functions",,,,
"Étienne Blanc","functions",,"Maire de Divonne Les Bains","13795,44 EUR par an ","Mars 2008 à Mars 2014 - 1149,62 euros mensuel (écrêtement)"
"Étienne Blanc","functions",,"Président de communauté de communes","9631,92 EUR par an ","Avril 2008 à Mars 2014 - 802,66€ mensuel (écrêtement)"
"Étienne Blanc","functions",,,,"Député de l'Ain - 5682,41 EUR brut mensuel"
"Eva Sas","functions",,"Conseillère communautaire CALPE","2208 EUR par an ","184 EUR"
"Eva Sas","functions",,"Conseillère municipale Savigny sur Orge",,
"Évelyne Didier","functions",,"Maire de Conflans-en-Jarnisy 54800","12643,68 EUR par an","Mars 2008 - Mars 2014 - 1053,64"
"Évelyne Didier","functions",,"Vice - présidente syndicat mixte SCOT","Indemnités non perçues","mar-14"
"Évelyne Didier","functions",,"Vice-présidente CDeC du Jarnisy","Indemnités non perçues","Mars 2008 - Mars 2014"
"Évelyne Yonnet-Salvator","functions",,"Conseillère communautaire",,
"Évelyne Yonnet-Salvator","functions",,"Conseillère municipale",,
"Fabienne Keller","functions",,"Conseillère de la Communauté Urbaine de Strasbourg","11424 EUR par an ","952 EUR par mois"
"Fabienne Keller","functions",,"Conseillère Municipale de Strasbourg","5244 EUR par an","437 EUR par mois"
"Fabrice Verdier","functions",,"Conseiller Régional","21600 EUR par an ","Octobre 2012 - Mars 2015 - 1800 euros net"
"Fabrice Verdier","functions",,"Maire","5400 EUR par an ","Mars 2008 - Mars 2014 - 450 euros net"
"Fabrice Verdier","functions",,"Président Communauté de communes","4800 EUR par an ","Avril 2008 - juillet 2012 - 400 euros net"
"Fabrice Verdier","functions",,"Vice Président conseil régional","26400 Eur par an ","Mars 2010 - octobre 2012 - 2200 euros net"
"Fanélie Carrey-Conte","functions",,,,
"Fanny Dombre Coste","functions",,"Adjointe Maire","25632,6 EUR par an ","Cumulé 2008 - 2012  : 128163"
"Fanny Dombre Coste","functions",,"Conseillère agglo","2012 : 50997 EUR par an ",
"Fanny Dombre Coste","functions",,"Conseillère agglo","2013 : 13794 EUR par an ",
"Fanny Dombre Coste","functions",,"Conseillère municipale","2013 : 6990",
"Fanny Dombre Coste","functions",,"Conseillère régionale","21193 EUR par an ","Cumulé : 63579"
"Félix Desplan","functions",,"Maire de Pointe-Noire (premier adjoint au Maire de Pointe-Noire)","137392 EUR par an ","Mars 2008-septembre 2013 (octobre-décembre 2013)"
"Félix Desplan","functions",,"Premier Vice-Président du Conseil Général de la Guadeloupe","13578 EUR par an ","Mars 2011-septembre 2011"
"Félix Desplan","functions",,"Président du Conseil de surveillance de l'hôpital Louis-Daniel Beauperthuy de Pointe-Noire",,"Mars 2011-septembre 2011"
"Félix Desplan","functions",,"Vice-Président de la Communauté d'agglomération du Nord Basse-Terre (CANBT)","55679 EUR par an ","Janvier 2011-en cours - (jusqu'en décembre 2013)"
"Fernand Siré","functions",,"Maire",,"A partir de 03/2001"
"Fernand Siré","functions",,"Vice Président agglo Perpignan Mediterranée",,"a partir de 09/2006"
"Fernand Siré","functions",,,,"Député -A partir du 31/03/2010 - Rémunération plafonnée à 7641 EUR mensuels"
"Florence Delaunay","functions",,"Conseillère régionale Aquitaine","31932 EUR par an",
"Florent Boudié","functions",,"Conseiller municipal de Pineuilh",,"mars 2008 - mars 2014"
"Francis Delattre","functions",,"Maire de FRANCONVILLE 95130","33000 EUR par an ","Début de mandat Mars 2008 - 2750 € mensuels"
"Francis Hillmeyer","functions",,"Maire","5328,72 EUR par an ","9 mars 2008 - 444,06 €"
"Francis Hillmeyer","functions",,"Président SCOT",,"9 mars 2008 - Bénévole"
"Francis Hillmeyer","functions",,"Vice-président Agglomération","4308,48 EUR par an ","1 janvier 2010 - 359,04 €"
"Francis Hillmeyer","functions",,"Vice-président SIRTAM","6906,72 EUR par an ","mars 2008 / Janvier 2010 - 575,56 €"
"Francis Hillmeyer","functions",,"Vice-président SIVOM","2011,60 EUR par an ","9 mars 2008 - 417,64 €"
"Francis Vercamer","functions",,"Maire de Hem","21072 EUR par an","1756 EUR brut par mois"
"Francis Vercamer","functions",,"Vice-Président Métropole européenne Lille","22200 EUR par an","1850 EUR brut par mois"
"Francis Vercamer","functions",,,,"Député du Nord depuis 2007 - 5790 EUR brut par mois : 69480 EUR par an + 1420 EUR brut par mois : 17040 EUR par an"
"Franck Gilard","functions",,"Président du syndicat de gestion des ordures ménagères Rue Lavoisier 27700 Les Andelys",,"Mars 2008 -> Mars 2014"
"Franck Marlin","functions",,"Maire ville d'Etampes 91150","23741 EUR par an ","du 15 Mars 2008 au 30 Mars 2014 - 1978,45 Net Mensuel"
"Franck Montaugé","functions",,"Maire d'Auch","24804 EUR par an","Baisse importante"
"Franck Montaugé","functions",,"Président Grand-Auch agglomération","8292 EUR par an","Baisse importante"
"Franck Reynier","functions",,"Maire de Montélimar","2012 : 100836 EUR par an  ","18/03/2008"
"Franck Reynier","functions",,"Maire de Montélimar","2013 : 8663 EUR par an ",
"Franck Reynier","functions",,"Président de l'Agglomération de Montélimar.","2012 : 16.563 EUR par an ","mar-08"
"Franck Reynier","functions",,"Président de l'Agglomération de Montélimar.","2013 : 15141 EUR par an ",
"Franck Riester","functions",,"Maire de Coulommiers","25603,2 EUR par an ","2 133,60 € nets mensuels"
"Franck Riester","functions",,"Président de la communauté de communes du pays de Coulommiers",,"Elu en janvier 2013"
"Franck Riester","functions",,"Président du syndicat mixte du centre aquatique et du cinéma (Coulommiers 77)",,"Elu en 2008"
"Franck Riester","functions",,,,"Député depuis 2007  - 2013 : 47 215,68 EUR par an Imposable"
"François André","functions",,"Conseiller communautaire Rennes Métropole","2388 EUR par an ","De Mars 2008 à Juillet 2012 - 199€ / mois"
"François André","functions",,"Conseiller général Ille-et-Vilaine","27600 EUR par an ","Depuis Mars 2008 - 2300€ / mois"
"François André","functions",,"Maire adjoint ville de Rennes","20400 EUR par an ","De Mars 2008 à Juillet 2012 - 1700€ / mois"
"François Asensi","functions",,"Communauté d'agglomération Terres de France",,
"François Asensi","functions",,"Maire","24540 EUR par an ",2045
"François Asensi","functions",,"SEAPFA (Syndicat intercommunal)",,
"François Baroin","functions",,"Maire de Troyes (Aube)","12846 EUR par an ","(01/09/2014 : 1070,55 EUR net mensuel (prelevement à la source) ) "
"François Baroin","functions",,"Membre du Conseil Syndical du Syndicat départ   (aube)",,"01/05/2014 - 01/05/2020"
"François Baroin","functions",,"Président du Grand Troyes ","12324,60 EUR par an ","(01/09/2014 : 1027,05 net mensuel (prélevement à la source) ) "
"François Bonhomme","functions",,,,
"François Calvet","functions",,"Mairie de LE SOLER","2013 : 9241,97 EUR par an ",
"François Calvet","functions",,"Vice-Président Communauté de Communes Perpignan-Méditerranée","2013 : 15333,95 EUR par an ",
"François Calvet","functions",,,,"Sénateur -  2013 : 53242,44 EUR par an "
"François Commeinhes","functions",,"Conseiller général","25164 EUR par an",
"François Commeinhes","functions",,"Maire de Sète","31500 EUR par an",
"François Commeinhes","functions",,"Président SMBT",,
"François Commeinhes","functions",,"Président Thau Agglomération","29172 EUR par an",
"François Cornut-Gentille","functions",,"Maire de St Dizier",,"1.982 €"
"François de Mazières","functions",,"Maire de Versailles","29652 EUR par an ","avant l'élection comme député: 3660€/mois après l'élection comme député: 2471€/mois"
"François de Mazières","functions",,"Président de Versailles Grand Parc",,"avant l'élection comme député: 2412€/mois après l'élection comme député: 0"
"François de Rugy","functions",,"Conseiller Communautaire Communauté Urbaine de Nantes Métropole","11438,4 EUR par an ","Avril 2008 - Avril 2014 - 953,20 € / mois"
"François de Rugy","functions",,"Conseiller Municipal Orvault","0 EUR par an ","Mars 2008 - Mars 2014"
"François Fillon","functions",,"Conseiller municipal de Solesmes",,
"François Fillon","functions",,"Président de la CdC de Sablé sur Sarthe",,"Du 19 AVRIL 2001 au 12 SEPTEMBRE 2012"
"François Fortassin","functions",,"Adjoint au Maire, Sarp","717,48 EUR par an ","59,79 € net/mois"
"François Fortassin","functions",,"Président Commission Syndicale Forestière","0 EUR par an ",
"François Fortassin","functions",,"Président du Pic du Midi","0 EUR par an ",
"François Fortassin","functions",,"Président du SDE","0 EUR par an ",
"François Fortassin","functions",,"Vice Président Conseil Général","19157,16 EUR par an ","1596,43€ net/mois"
"François Fortassin","functions",,"Vice-Président Com.Com Vallée de Baroune","0 EUR par an ",
"François Fortassin","functions",,"Vice-président SEBCS","0 EUR par an ",
"François Fortassin","functions",,,,"Sénateur des Hautes Pyrénées depuis 2011 - 5400 EUR net/mois"
"François Grosdidier","functions",,"Maire de Woippy","19008 EUR par an ","01/04/2008 au 31/03/2014 - brut : 1584 € net : 1047 €"
"François Grosdidier","functions",,"Vice-Président de Metz-Métropole","14772 EUR par an ","01/04/2008 au 31/03/2014 - brut : 1231 € net : 802 €"
"François Lamy","functions",,"Conseiller municipal",,"31-mar-14"
"François Loncle","functions",,,,
"François Marc","functions",,"Conseiller général du finistère","4680 EUR par an","390 EUR / mois"
"François Patriat","functions",,"Président de Conseil Régional Bourgogne","27000 EUR par an ",
"François Pillet","functions",,"Président du SMAERC (Syndicat de traitement d'eau)","0 EUR par an ",
"François Pupponi","functions",,"Conseiller communautaire - CA Val de France",,
"François Pupponi","functions",,"Maire de Sarcelles","22236 EUR par an ","Depuis le 3 juin 1997 - Environ 1853 euros nets mensuels"
"François Pupponi","functions",,,,"Député du Val d'Oise Depuis le 16 décembre 2007 - Environ 5800 euros nets mensuels : 69600 EUR par an "
"François Rochebloine","functions",,,,"Député de la Loire - Indemnité Parlementaire (Décembre 2013) 6332,26 EUR (net)"
"François Sauvadet","functions",,"1er adjoint au Maire de Vitteaux","6842,64 EUR par an ","570,22€ brut"
"François Sauvadet","functions",,"Président de la communauté de communes de Vitteaux","7353,6 EUR par an ","612,80 € brut"
"François Sauvadet","functions",,"Président du conseil général de Cote d'Or","22588,69 EUR par an ","1882,39€ brut"
"François Sauvadet","functions",,,,"Député de Côte d'Or avril 1993- juin 2011 puis élu juin 2012 - 5680,12 : 68161,44 EUR par an "
"François Scellier","functions",,"Vice-président du Conseil général du Val d'Oise",,"mars 2008 à 2015 - Aucune rémunération ou gratification autres que les indemnités légales"
"François Scellier","functions",,,,"Député  - 20 juin 2012 à 2017 - Aucune rémunération ou gratification autres que les indemnités légales"
"François Vannson","functions",,,,
"François Zocchetto","functions",,"Conseiller communautaire d'agglomération de Laval","2013 : 45557 EUR ","Base imposable"
"François Zocchetto","functions",,"Conseiller municipal de Laval",,
"François Zocchetto","functions",,,,"Sénateur - 2008 - …"
"Françoise Cartron","functions",,"Conseillère à Communauté urbaine de Bordeaux","26777,04 EUR par an ","2231,42 EUR PAR MOIS  début juin 1995 - fin mars 2001"
"Françoise Cartron","functions",,"Conseillère municipale de la ville d'Artigues",," Début janvier 2012 - fin mars 2014"
"Françoise Cartron","functions",,"Maire de la ville d'Artigues",,"Début juin 1995 - fin janvier 2012"
"Françoise Cartron","functions",,"Vice-Présidente de la Communauté urbaine de Bordeaux","26777,04 EUR par an ","2231,42 EUR PAR MOIS début mars 2001 - fin mars 2014"
"Françoise Descamps-Crosnier","functions",,"Conseillère communautaire","14100 EUR par an ","1175€/mois"
"Françoise Descamps-Crosnier","functions",,"Conseillère municipale",,
"Françoise Descamps-Crosnier","functions",,"Maire","3840 EUR par an ","2008 - fin mars 2013 - 320€/mois après écrètement"
"Françoise Descamps-Crosnier","functions",,"syndicat mixte base de loisir","3720 EUR par an ","2010-2012 démission suite à élection députée - 318 € / mois"
"Françoise Dubois","functions",,"Conseiller communautaire Le mans",,"Mars 2008 - Mars 2014"
"Françoise Dubois","functions",,"Maire Adjointe Le mans",,"Mars 2008 - Mars 2014"
"Françoise Dubois","functions",,,,"Juin 2012 Députée 1ère Sarthe"
"Françoise Dumas","functions",,"Vice Présidente Conseil Régional",,"10-mar-10"
